OrderID,CustomerID,CustomerName,OrderDate,Product,Category,Quantity,UnitPrice,BaseCost,TotalPrice,Tax,TotalPriceWithTax,Country,PointOfSale,SalesAgent,Segment,PaymentMethod,Discount
FA-62385,43709,Jason Jones,2023-12-21,Mouse,Accessories,6,138.37,88.04,830.22,124.53,954.75,Puerto Rico,Store C,Tonya Walls,Corporate,Paypal,0.0
FA-30646,16228,Noah Lee,2024-01-24,Tablet,Mobile Devices,9,580.76,321.16,5226.84,784.03,6010.87,Chad,Store C,Julie Oneill,Corporate,Wire Transfer,0.0
FA-30646,80307,Noah Lee,2024-01-24,Tablet,Mobile Devices,9,580.76,321.16,5226.84,784.03,6010.87,Myanmar,Store C,Julie Oneill,Corporate,Cash,0.0
FA-92241,71778,Christopher Gibson,2023-04-06,Mouse,Accessories,1,286.2,149.75,286.2,42.93,329.13,Iceland,Store A,Bryan Perkins,Online,Paypal,0.25
FA-22596,15073,Marie Davis,2024-02-01,Mouse,Accessories,5,20.48,10.67,102.4,15.36,117.76,Honduras,Store C,Colleen Mcbride,Corporate,Cash,0.0
FA-70899,13449,Scott Porter,2024-01-28,Monitor,Electronics,1,125.82,95.29,125.82,18.87,144.69,Monaco,Store A,Amy Wells,Online,Cash,0.11
FA-33200,78993,Michael Pierce,2023-05-03,Tablet,Mobile Devices,5,368.94,280.82,1844.7,276.7,2121.4,Bermuda,Store C,Mrs. Mary Alvarez MD,Corporate,Cash,0.15
FA-81796,36321,Kelly Espinoza,2024-06-10,Keyboard,Accessories,4,88.46,46.45,353.84,53.08,406.92,Togo,Store C,Timothy Brown,Online,Wire Transfer,0.24
FA-87139,32250,Lisa Rodriguez,2023-07-29,Tablet,Mobile Devices,3,797.29,604.01,2391.87,358.78,2750.65,Vanuatu,Online Platform,Barbara Williams,Online,Cash,0.11
FA-27673,74905,Kenneth Miller,2023-07-05,Tablet,Mobile Devices,8,332.0,168.31,2656.0,398.4,3054.4,Albania,Online Platform,Joseph Lewis,Wholesale,Cash,0.0
FA-81642,61728,Tracey Mejia,2023-02-09,Mouse,Accessories,7,355.06,244.63,2485.42,372.81,2858.23,Guam,Store C,Bryan Perkins,Corporate,Paypal,0.0
FA-86665,37238,Hannah Martinez,2024-08-05,Monitor,Electronics,6,619.53,475.57,3717.18,557.58,4274.76,Malawi,Online Platform,Robert Nunez,Retail,Credit Card,0.3
FA-28044,94238,Bruce Lopez,2024-02-12,Monitor,Electronics,7,995.24,703.97,6966.68,1045.0,8011.68,Guatemala,Store B,Barbara Williams,Wholesale,Cash,0.0
FA-77617,79277,Derrick Johnson,2023-02-03,Phone,Mobile Devices,-10,306.06,214.73,3060.6,459.09,-2121.4,Libyan Arab Jamahiriya,Online Platform,Cristina Shaw,Corporate,Credit Card,0.0
FA-47676,72921,Benjamin Jones,2023-08-04,Tablet,Mobile Devices,4,223.2,169.12,892.8,133.92,1026.72,Cape Verde,Store C,Lucas Gordon,Wholesale,Wire Transfer,0.2
FA-47676,30049,Benjamin Jones,2023-08-04,Tablet,Mobile Devices,4,223.2,169.12,892.8,133.92,1026.72,China,Store C,Lucas Gordon,Wholesale,Wire Transfer,0.0
FA-68581,91501,Kimberly Reyes,2023-02-21,Monitor,Electronics,5,986.25,670.12,4931.25,739.69,5670.94,Dominica,Store C,James Patterson,Online,Paypal,0.17
FA-80792,68680,Ryan Daniels,2023-10-17,Mouse,Accessories,5,448.08,286.1,2240.4,336.06,2576.46,Poland,Store B,Kelly Martinez,Wholesale,Cash,0.0
FA-72783,50465,Kayla Estrada,2023-01-09,Phone,Mobile Devices,6,430.37,294.3,2582.22,387.33,2969.55,Saint Helena,Store A,Mia Zamora,Online,Wire Transfer,0.0
FA-47379,10325,Andrea Young,2024-07-24,Laptop,Electronics,5,168.05,104.78,840.25,126.04,966.29,Dominica,Online Platform,Melissa Thompson,Online,Paypal,0.0
FA-47379,46815,Andrea Young,2024-07-24,Laptop,Electronics,5,168.05,104.78,840.25,126.04,966.29,Jamaica,Online Platform,Melissa Thompson,Online,Cash,0.2
FA-92984,95539,Susan Brock,2024-03-21,Tablet,Mobile Devices,4,693.98,531.3,2775.92,416.39,3192.31,Malta,Online Platform,Thomas Anderson,Corporate,Cash,0.07
FA-84459,9307,Paul Flores,2024-09-12,Tablet,Mobile Devices,10,650.29,475.38,6502.9,975.43,7478.33,Somalia,Store A,Caleb Pope,Retail,Cash,0.0
FA-84459,52471,Paul Flores,2024-09-12,Tablet,Mobile Devices,10,650.29,475.38,6502.9,975.43,7478.33,Botswana,Store A,Caleb Pope,Retail,Cash,0.0
